Institution;Project name;Application;Comment;Status;Method;Software;Description of the project
GESIS - Leibniz Institute for the Social Sciences;When populists become popular: comparing Facebook use by the right- wing movement Pegida and German political parties29;Topic Modelling;;Research publication;LDA;Python;"Abstract: ""Previous research has acknowledged the use of social media in political communication by right-wing populist parties and politicians. Less is known, however, about its pivotal role for right- wing social movements which rely on personalized messages to mobilize supporters and challenge the mainstream party system. This paper analyses online political communication by the right-wing populist movement Pegida and German political parties. We investigate to which extent parties attract supporters of Pegida, to which extent they address topics similar to Pegida and whether their topic use has become more similar over a period of almost two years. The empirical analysis is based on Facebook posts by main accounts and individual representatives of these political groups. We first show that there are considerable overlaps in the audiences of Pegida and the new challenger in the party system, AfD. Then we use topic models to characterize topic use by party and surveyed crowd workers to which extent they perceive the identified topics as populist communication. The results show that while Pegida and AfD talk about rather unique topics and smaller parties engage to varying degrees with the topics populists emphasize, the two governing parties CDU and SPD clearly deemphasize those. Overall, the findings indicate that the considerable attention devoted to populist actors and shifts in public opinion due to the refugee crisis have left only moderate marks in political communication within the mainstream party system."""
Federal Statistical Office of Germany;Machine Learning Methodology 13;Various;Evaluation of ML  as a possibility for implementing automated data preparation and data analysis.;Tests;kNN, Naive Bayes, Random Forest, SVM, ANN, ...;R, Python, HoloClean;Evaluation of machine learning processes as a possibility for implementing automated data preparation and data analysis
Italian National Institute of Statistics;Substitutes for surveys via internet scraping47;;;Experiment;Naive Bayes and others;R;Research regarding the possibility of substituting (fully or partially) surveys by collecting data via internet scraping and extracting information therein using machine learning methods.
Statistics Canada;Manufacturing industries and producer prices commodities;;Data extraction, Classification to NAPCS;At test stage, experimentation to start in May'18;TBD;R, Python;Web scraping to obtain the list of commodities being produced by manufacturing companies from catalogues on their Web sites or other existing on-line data bases. Code the products to the NAPCS classification using ML.
Statistics Canada;Agriculture crop yield estimates54;;Predictive modelling;Phase 1 in production since 2015 Phase 2 (November crop yield and area) at Idea stage, to start in May'18;Phase 1 : LASSO and others Phase 2 : TBD;"mostly SAS for phase 1; TBD for phase 2";Phase 1 : The model-based crop estimates provide provincial and national yield and production estimates for principal field crops in Canada. The model utilizes data from low resolution satellite imagery, historical field crop survey estimates, and agroclimatic information. Phase 2: Develop in season crop area and yield estimates, combining crop insurance, remote sensing and other business intelligence including supply and disposition data and historical patterns to identify likely crop cover at the field level and then employing historical data, trends and weather data to produce yield estimates.
Statistics Canada;Canadian Housing Statistics Program, project on citizenship and country of birth;;Classification;Idea, to start in May'18;TBD;TBD;Partial information about citizenship and country of birth can be found in different databases such as the Census of Population, the Social Insurance Number Registry, immigration data, tax data, and so on. Standardize and integrate the existing information, use ML to impute missing information.
Statistics Canada;Exploration of machine learning to create indicators on tourism spending;;Regression;Idea;TBD;TBD;Model a set of early indicators on international tourism spending in Canada based on survey data and payment processor data from debit and credit cards.
Statistics Canada;Economic Analysis: Identifying high growth firms and firm failures;;Classification;Idea, to start in May 2018;Random Forest;R;Administrative data over a three-year time span is commonly used to identify high growth firms. This project uses ML techniques to develop more timely estimates of high growth firms. Similarly, firm peformance is hypothesized to deteriorate years before exit (shadow of death effect).    ML techniques are also applied to develop more timely estimates of firm exits.
 Statistics Canada     ; Economic Analysis: Identifying firm networks  ;;Classification; Initial assessment completed. Additional data needed to improve algorithm.; TBD     ; TBD     ; Using ML to identify firm networks from Business Register and origin and destination of shipments data so that supply chains and intra- and intra-firm trade can be analysed   
 Statistics Canada       ; Communicatio ns and Dissemi- nation: improving user experience on the web;; Chatbots       ; Idea       ; TBD       ; TBD       ; Live chat featured for visitors based on their navigation patterns       
 Statistics Canada       ; Communi- cations and Dissemi- nation: improving user experience on the web;; TBD       ; Idea, to start in April 2018      ; TBD       ; TBD       ; Use AI to analyze content web site visitors based on their past content consumption / navigation, or to offer live chat.      
 Statistics Canada               ; Predicting Mortality Rates             ;; Predictive modelling               ; Idea to start in FY 2018              ; TBD               ; TBD               ; Investigate how sociodemographic and health-related factors contribute to life expectancy. Constructing well-specified predictive models can be extremely time consuming and labor intensive. Data driven approaches, like machine learning techniques, are gaining popularity. These algorithms may be able to gain insightful information about what predicts an outcome by iteratively learning from data, instead of being explicitly directed by theory ML solution: Trial various AI/machine learning techniques, including support vector machines and neural networks, to predict mortality in the Census linked CANCHEC cohorts. These are large cohorts that contain health outcomes, but not necessarily health exposure data. As Statistics Canadas holdings of such data increase we need to explore alternative methods to construct robust predictive models/analytic tools, when we are lacking key health exposure variables.
Statistics Canada;Victimisation studies (Harvesting key data from narrative descriptions);;Classification;Idea, to start in Spring/Summer 2018 (data dependent);Text recognition (possibly), Natural language processing, TBD;TBD;Exploring narrative descriptions to harvest statistical information (abuse case in social workersÃ¢â‚¬â„¢ narrative description)
Statistics Canada;R&D for generalised systems55;;Sample allocation/selection;Proof of concept completed;Genetic Algorithm;R;Use of genetic algorithm (AI based on natural selection) for sample allocation
Statistics Canada;Census;;Imputation;Completed and used for Census 2016 production;ReliefF algorithm for feature selection and weigthing for neirest neighbor imputation;"R for feature selection and weigthing; model used in ""regular"" production system ( CANCEIS)";Immigration admission category variables were added to the 2016 Census through record linkage rather than collecting them from respondents. Data were not available for some individuals and had to be inferred from other characteristics provided by them. Machine Learning was used to identify the best combination of characteristics to make these inferences.
 Statistics Canada       ; Exploration of machine learning for coding of industry and occupation text descriptions;; Statistical coding       ; Exploratory / idea generation      ; Various       ; Various       ; Opportunities to use Machine Learning and Artifical Intelligence to improve the effectiveness of automated coding of survey responses is being investigated. This would have a number of applications in survey and administrative data programs, including the Labour Force Survey. For example, new methods could permit the collection of additional open-ended information related to task descriptions of jobs and skills profiles of individuals. 
 Statistics Canada   ; Census Program Transfor- mation Project;; To be defined   ; Idea   ; TBD   ; TBD   ; Exploring how AI could be applied in data linkage processes in the building of statistical registers.  
 Statistics Canada ; Synthetic Data File;; Synthetic data (disclosure control); Exploration ; CART models and Random Forest; R ; Examination of machine learning algorithms for creation of synthetic data for disclosure control
 Statistics Canada  ; Priorisation score for collection;;   ; Exploration / proof of concept in progress; Bayesian Hierarchical ; SAS  ; Creating a Priorization Score in CATI Surveys: Analysis of the Bayesian Hierarchical Rule Modeling 
 Statistics Canada         ; Simulation of administrative data       ;; Modelling         ; Idea         ; TBD         ; TBD         ; Modeling of administrative data which can incorporate both the relationships between variables (correlations) and the longitudinal dependences are requirements to provide realistic simulated data for statistical purposes. Current methodology and available tools apply Gibbs Sampling or Bayesian networks to model all the conditional distributions. Machine learning algorithms may also provide a solution. For example, neural networks are capable of modeling complex correlations amongst variables. Such networks could be extended to deep networks in the case of large, complicated data sets.
 Statistics Canada      ; Development of the record linkage software G- Link  ;; Probabilistic record linkage with Fellegi- Sunter methodology    ; Development      ; Unsupervised: K- Means Supervised: two- step method K- means + Probit  ; G-Link (coded in SAS)     ; Supervised and Semi-supervised Machine Learning methods are used for the development of automatic thresholds in the Felleigi- Sunter methodology. The k-means method and the two-step method (k-means and probit) will be implemented in the version 3.4 of G- Link. In this way, Statistics Canada is creating an opportunity to replace costly searches carried out by humans through manual review by machine learning techniques.
Statistics Iceland;Increased automation in data processing;;Varied;Planning;;;
 Statistics Netherlands   ; Domain names ICT companies  ;;     ; Experiment    ;     ; Python    ; A nation wide URL domain name data base (the .nl domain) is connected to the outcome of the Dutch ICT-company survey in order to create a ML-trainingset based on the web-scraped contents of the company's URL. In this way, ICT-company classification can be automated and the ICT-company statistics can be improved
 Statistics Netherlands   ; Prediction of economic activity from website texts60;; Multiple cases    ; Test    ; Various ML techniques like SVM and Random Forest  ; R and Python    ; Economic activity is an important characteristic of enterprises. This characteristic is stored in a General Business Register at CBS, but it tends to be outdated. We aim to use machine learning techniques to predict the economic activity from website texts 
 Statistics Netherlands  ; Deep learning - Estimating missing values;Imputation;Estimate missing turnover data of companies by DNN; Experiment   ; Deep Learning; Python   ; Turnover data of companies contain a lot of missing values. Imputation techniques may be improved by using machine learning techniques. The aim of this study is to estimate missing values by using deep learning.
 Statistics Poland        ; Detection of agricultural crops62      ;; Segmentation        ; Pilot        ; KNN, SVM        ; MTSar, ArcGIS        ; The goal is to identify crop types based on Sentinel-1 and Sentinel-2 satellite images. Different algorithms have been tested for the detection of crop types, including Support Vector Machine (SVM), Decision Trees (DT), K-Nearest Neighbours (KNN) with the following classification parameters: Sigma, Entropy, Alfa, multi-temporal indicators, Wishard distribution but the highest accuraccy is based on KNN with wishard distribution.
 Statistics Poland      ; Life satisfaction     ;;Classification; Pilot      ; NL      ; Python, MongoDB, Apache Spark     ; The goal of the use case is to deliver data on life satisfaction - 1.happy, 2.neutral, 3.calm, 4.upset, 5.depressed and 6.discouraged. The goal is to support the data from EU-SILC survey with more recent data. The major drawback from this case study is that the dataset may not be representative. The methodology includes Machine learning Ã¢â‚¬â€œ supervised learning and Web scraping Ã¢â‚¬â€œ we use Twitter API to gather and process the data.
 Statistics Portugal     ; Identification of error- containing records via classification trees63;; Error detection     ; Experiment     ; Decision Tree     ;      ; A method based on classification trees for error detection in foreign trade transaction data collected by the Portuguese Institute of Statistics.   
 Statistics Spain (INE) ; UFAES (new methodology) ;; Algorithm-assisted survey sampling ; Research with real data ; Random Forest  ; R  ; Random forests are used to model questionnary data from admin data. This model assists the design-based estimator in a probability sampling survey in order to reduce the sample size.
 Statistics Spain (INE)  ; Selective Editing of Quantitative Variables;; Prediction   ; Planning stage   ; Random Forest, SVMs, Spline Regression, kNN Regression; R   ; Different predictive techniques are to be explored to predict anticipated values in the optimization approach to selective editing of quantitative variables developed at Statistics Spain (INE) 
 U.S. Department of Agriculture NASS     ; Crop Prediction Based on the Cropland Data Layer, Administrative Data, and Survey Data;;Matching; Foundational work is being undertaken     ; TBD, probably Bayesian      ; TBD, likely R or SAS with others Source (link)     ; An effort to bring all available data together to enhance crop forecasts of crop yield      
